year,East Germany,Germany,West Germany,east_west_gap_pp
1991,10.2,7.3,6.2,4.0
1992,14.4,8.5,6.4,8.0
1993,15.4,9.8,8.0,7.4
1994,15.7,10.6,9.0,6.7
1995,14.8,10.4,9.1,5.7
1996,16.6,11.5,9.9,6.7
1997,19.1,12.7,10.8,8.3
1998,19.2,12.3,10.3,8.9
1999,18.7,11.7,9.6,9.1
2000,18.5,10.7,8.4,10.1
2001,18.8,10.3,8.0,10.8
2002,19.2,10.8,8.5,10.7
2003,20.1,11.6,9.3,10.8
2004,20.1,11.7,9.4,10.7
2005,20.6,13.0,11.0,9.6
2006,19.2,12.0,10.2,9.0
2007,16.7,10.1,8.3,8.4
2008,14.6,8.7,7.2,7.4
2009,14.5,9.1,7.8,6.7
2010,13.4,8.6,7.4,6.0
2011,12.6,7.9,6.7,5.9
2012,11.9,7.6,6.6,5.3
2013,11.6,7.7,6.7,4.9
2014,11.0,7.5,6.7,4.3
2015,10.3,7.1,6.4,3.9
2016,9.4,6.8,6.2,3.2
2017,8.4,6.3,5.8,2.6
2018,7.6,5.8,5.3,2.3
2019,7.1,5.5,5.1,2.0
2020,8.1,6.5,6.1,2.0
2021,7.9,6.3,5.9,2.0
2022,7.4,5.8,5.4,2.0
2023,7.8,6.2,5.8,2.0
2024,8.2,6.5,6.1,2.1
2025,8.6,6.8,6.4,2.2
