year,region,unemployed_count,unemployment_rate_pct
1956,West Germany,876287,4.4
1957,West Germany,753711,3.7
1958,West Germany,763850,3.7
1959,West Germany,539942,2.6
1960,West Germany,270678,1.3
1961,West Germany,180855,0.8
1962,West Germany,154523,0.7
1963,West Germany,185646,0.8
1964,West Germany,169070,0.8
1965,West Germany,147352,0.7
1966,West Germany,161059,0.7
1967,West Germany,459489,2.1
1968,West Germany,323480,1.5
1969,West Germany,178579,0.9
1970,West Germany,148846,0.7
1971,West Germany,185072,0.8
1972,West Germany,246433,1.1
1973,West Germany,273498,1.2
1974,West Germany,582481,2.6
1975,West Germany,1074217,4.7
1976,West Germany,1060336,4.6
1977,West Germany,1029995,4.5
1978,West Germany,992948,4.3
1979,West Germany,876137,3.8
1980,West Germany,888900,3.8
1981,West Germany,1271574,5.5
1982,West Germany,1833244,7.5
1983,West Germany,2258235,9.1
1984,West Germany,2265559,9.1
1985,West Germany,2304014,9.3
1986,West Germany,2228004,9.0
1987,West Germany,2228788,8.9
1988,West Germany,2241556,8.7
1989,West Germany,2037781,7.9
1990,West Germany,1883147,7.2
1991,East Germany,1005745,10.2
1991,Germany,2602203,7.3
1991,West Germany,1596457,6.2
1992,East Germany,1279297,14.4
1992,Germany,2978570,8.5
1992,West Germany,1699273,6.4
1993,East Germany,1269676,15.4
1993,Germany,3419141,9.8
1993,West Germany,2149465,8.0
1994,East Germany,1271781,15.7
1994,Germany,3698057,10.6
1994,West Germany,2426276,9.0
1995,East Germany,1184838,14.8
1995,Germany,3611921,10.4
1995,West Germany,2427083,9.1
1996,East Germany,1318622,16.6
1996,Germany,3965064,11.5
1996,West Germany,2646442,9.9
1997,East Germany,1514435,19.1
1997,Germany,4384456,12.7
1997,West Germany,2870021,10.8
1998,East Germany,1529095,19.2
1998,Germany,4280630,12.3
1998,West Germany,2751535,10.3
1999,East Germany,1495779,18.7
1999,Germany,4100499,11.7
1999,West Germany,2604720,9.6
2000,East Germany,1508707,18.5
2000,Germany,3889695,10.7
2000,West Germany,2380987,8.4
2001,East Germany,1532064,18.8
2001,Germany,3852564,10.3
2001,West Germany,2320500,8.0
2002,East Germany,1562953,19.2
2002,Germany,4061345,10.8
2002,West Germany,2498392,8.5
2003,East Germany,1623614,20.1
2003,Germany,4376795,11.6
2003,West Germany,2753181,9.3
2004,East Germany,1598522,20.1
2004,Germany,4381281,11.7
2004,West Germany,2782759,9.4
2005,East Germany,1614154,20.6
2005,Germany,4860909,13.0
2005,West Germany,3246755,11.0
2006,East Germany,1480146,19.2
2006,Germany,4487305,12.0
2006,West Germany,3007158,10.2
2007,East Germany,1285058,16.7
2007,Germany,3760586,10.1
2007,West Germany,2475528,8.3
2008,East Germany,1120175,14.6
2008,Germany,3258954,8.7
2008,West Germany,2138778,7.2
2009,East Germany,1100777,14.5
2009,Germany,3414992,9.1
2009,West Germany,2314215,7.8
2010,East Germany,1011492,13.4
2010,Germany,3238965,8.6
2010,West Germany,2227473,7.4
2011,East Germany,949943,12.6
2011,Germany,2976488,7.9
2011,West Germany,2026545,6.7
2012,East Germany,897209,11.9
2012,Germany,2897126,7.6
2012,West Germany,1999918,6.6
2013,East Germany,869995,11.6
2013,Germany,2950338,7.7
2013,West Germany,2080342,6.7
2014,East Germany,823835,11.0
2014,Germany,2898388,7.5
2014,West Germany,2074553,6.7
2015,East Germany,774162,10.3
2015,Germany,2794664,7.1
2015,West Germany,2020503,6.4
2016,East Germany,712303,9.4
2016,Germany,2690975,6.8
2016,West Germany,1978672,6.2
2017,East Germany,638543,8.4
2017,Germany,2532837,6.3
2017,West Germany,1894294,5.8
2018,East Germany,581455,7.6
2018,Germany,2340082,5.8
2018,West Germany,1758627,5.3
2019,East Germany,543661,7.1
2019,Germany,2266720,5.5
2019,West Germany,1723059,5.1
2020,East Germany,620441,8.1
2020,Germany,2695444,6.5
2020,West Germany,2075003,6.1
2021,East Germany,607357,7.9
2021,Germany,2613489,6.3
2021,West Germany,2006132,5.9
2022,East Germany,567507,7.4
2022,Germany,2418133,5.8
2022,West Germany,1850626,5.4
2023,East Germany,608791,7.8
2023,Germany,2608672,6.2
2023,West Germany,1999881,5.8
2024,East Germany,644302,8.2
2024,Germany,2787112,6.5
2024,West Germany,2142810,6.1
2025,East Germany,678071,8.6
2025,Germany,2948092,6.8
2025,West Germany,2270022,6.4
