year,region,unemployed_count,unemployment_rate_pct,event
1956,West Germany,876287,4.4,
1957,West Germany,753711,3.7,
1958,West Germany,763850,3.7,
1959,West Germany,539942,2.6,
1960,West Germany,270678,1.3,
1961,West Germany,180855,0.8,
1962,West Germany,154523,0.7,
1963,West Germany,185646,0.8,
1964,West Germany,169070,0.8,
1965,West Germany,147352,0.7,
1966,West Germany,161059,0.7,
1967,West Germany,459489,2.1,Post-war recession
1968,West Germany,323480,1.5,
1969,West Germany,178579,0.9,
1970,West Germany,148846,0.7,
1971,West Germany,185072,0.8,
1972,West Germany,246433,1.1,
1973,West Germany,273498,1.2,
1974,West Germany,582481,2.6,Oil crisis
1975,West Germany,1074217,4.7,
1976,West Germany,1060336,4.6,
1977,West Germany,1029995,4.5,
1978,West Germany,992948,4.3,
1979,West Germany,876137,3.8,
1980,West Germany,888900,3.8,
1981,West Germany,1271574,5.5,
1982,West Germany,1833244,7.5,Second oil shock peak
1983,West Germany,2258235,9.1,
1984,West Germany,2265559,9.1,
1985,West Germany,2304014,9.3,
1986,West Germany,2228004,9.0,
1987,West Germany,2228788,8.9,
1988,West Germany,2241556,8.7,
1989,West Germany,2037781,7.9,
1990,West Germany,1883147,7.2,
1991,West Germany,1596457,6.2,Reunification
1992,West Germany,1699273,6.4,
1993,West Germany,2149465,8.0,
1994,West Germany,2426276,9.0,
1995,West Germany,2427083,9.1,
1996,West Germany,2646442,9.9,
1997,West Germany,2870021,10.8,
1998,West Germany,2751535,10.3,
1999,West Germany,2604720,9.6,
2000,West Germany,2380987,8.4,
2001,West Germany,2320500,8.0,
2002,West Germany,2498392,8.5,
2003,West Germany,2753181,9.3,
2004,West Germany,2782759,9.4,
2005,West Germany,3246755,11.0,Hartz reforms era peak
2006,West Germany,3007158,10.2,
2007,West Germany,2475528,8.3,
2008,West Germany,2138778,7.2,
2009,West Germany,2314215,7.8,Global financial crisis
2010,West Germany,2227473,7.4,
2011,West Germany,2026545,6.7,
2012,West Germany,1999918,6.6,
2013,West Germany,2080342,6.7,
2014,West Germany,2074553,6.7,
2015,West Germany,2020503,6.4,
2016,West Germany,1978672,6.2,
2017,West Germany,1894294,5.8,
2018,West Germany,1758627,5.3,
2019,West Germany,1723059,5.1,
2020,West Germany,2075003,6.1,COVID-19
2021,West Germany,2006132,5.9,
2022,West Germany,1850626,5.4,
2023,West Germany,1999881,5.8,
2024,West Germany,2142810,6.1,
2025,West Germany,2270022,6.4,
